FOLD: 0: [Test]- ACC:0.8148148148148148, AUC:0.9257737987759358, Kappa:0.8737137511693172,F1:0.8483175830230502, Precision:0.8601515151515151, Recall:0.8368048533872599
FOLD: 1: [Test]- ACC:0.8611111111111112, AUC:0.9567743515368969, Kappa:0.9216937354988399,F1:0.8682194781964211, Precision:0.875819356082514, Recall:0.8607503607503607
FOLD: 2: [Test]- ACC:0.8240740740740741, AUC:0.9395997350360843, Kappa:0.8890090869753353,F1:0.8279108753401947, Precision:0.8182977736549164, Recall:0.8377525252525252
FOLD: 3: [Test]- ACC:0.8518518518518519, AUC:0.9565328039139476, Kappa:0.9174548581255374,F1:0.8482926120422274, Precision:0.8419361888111888, Recall:0.8547457444516269
FOLD: 4: [Test]- ACC:0.8148148148148148, AUC:0.9330137286442917, Kappa:0.8793026374608851,F1:0.7865501525394499, Precision:0.7902210884353741, Recall:0.7829131652661064
FOLD: 0: [Test]- ACC:0.7962962962962963, AUC:0.9299468075900331, Kappa:0.862116991643454,F1:0.8107954867394425, Precision:0.8113215411033127, Recall:0.810270114112379
FOLD: 1: [Test]- ACC:0.8611111111111112, AUC:0.9772505039080992, Kappa:0.9191616766467066,F1:0.8764737669100688, Precision:0.9071969696969697, Recall:0.8477633477633478
FOLD: 2: [Test]- ACC:0.8333333333333334, AUC:0.9476473380037455, Kappa:0.8767659204520756,F1:0.8438776802053242, Precision:0.8405594405594405, Recall:0.8472222222222222
FOLD: 3: [Test]- ACC:0.8425925925925926, AUC:0.964589522457608, Kappa:0.9091448931116389,F1:0.8405898676406719, Precision:0.8472222222222223, Recall:0.8340605472958414
FOLD: 4: [Test]- ACC:0.8333333333333334, AUC:0.9433078197118928, Kappa:0.8939327804452204,F1:0.8023356228871005, Precision:0.7981673904052937, Recall:0.8065476190476191
