FOLD: 0: [Test]- ACC:0.8240740740740741, AUC:0.9522907559223449, Kappa:0.8714929859719439,F1:0.8568694426962258, Precision:0.891540404040404, Recall:0.8247941643796043
FOLD: 0: [Test]- ACC:0.8333333333333334, AUC:0.9317438306392141, Kappa:0.8819241982507289,F1:0.8726507772592353, Precision:0.8862745098039215, Recall:0.8594395493283259
FOLD: 1: [Test]- ACC:0.8518518518518519, AUC:0.9541375353164071, Kappa:0.9189189189189189,F1:0.8686956384171522, Precision:0.8638880859469095, Recall:0.8735569985569986
FOLD: 1: [Test]- ACC:0.8703703703703703, AUC:0.9681364099028107, Kappa:0.925531914893617,F1:0.8665805865743436, Precision:0.8787878787878789, Recall:0.8547077922077922
FOLD: 2: [Test]- ACC:0.8425925925925926, AUC:0.9647795695570042, Kappa:0.9061733442354866,F1:0.8538963550022886, Precision:0.8270221726743465, Recall:0.8825757575757576
FOLD: 2: [Test]- ACC:0.7962962962962963, AUC:0.9378089804700754, Kappa:0.8667115449343655,F1:0.790610011021371, Precision:0.7940013950244129, Recall:0.7872474747474747
FOLD: 3: [Test]- ACC:0.8240740740740741, AUC:0.9641368530920549, Kappa:0.899529964747356,F1:0.8239458026439338, Precision:0.8285886818495514, Recall:0.8193546649429003
FOLD: 3: [Test]- ACC:0.8518518518518519, AUC:0.9622269120121101, Kappa:0.9168030813673568,F1:0.8451005591147535, Precision:0.8423682225926808, Recall:0.8478506787330317
FOLD: 4: [Test]- ACC:0.8425925925925926, AUC:0.9540192363213842, Kappa:0.8977272727272727,F1:0.812180855417001, Precision:0.8233660130718955, Recall:0.801295518207283
FOLD: 4: [Test]- ACC:0.8425925925925926, AUC:0.9442637691041329, Kappa:0.8817619783616693,F1:0.8174965032097539, Precision:0.9006142506142506, Recall:0.7484243697478992
