FOLD: 0: [Test]- ACC:0.8148148148148148, AUC:0.9499844017116769, Kappa:0.8848614072494669,F1:0.8286407233358186, Precision:0.7946777859821338, Recall:0.8656362848476095
FOLD: 1: [Test]- ACC:0.8425925925925926, AUC:0.9677405091159627, Kappa:0.9134615384615384,F1:0.8499878481380606, Precision:0.8486989532655167, Recall:0.8512806637806638
FOLD: 2: [Test]- ACC:0.8333333333333334, AUC:0.9487934252081539, Kappa:0.8727558348294434,F1:0.8048636321156046, Precision:0.8067053513862025, Recall:0.803030303030303
FOLD: 3: [Test]- ACC:0.8333333333333334, AUC:0.9456021425264041, Kappa:0.9078934900028428,F1:0.8339193445618506, Precision:0.830175983436853, Recall:0.8376966171083818
FOLD: 4: [Test]- ACC:0.8518518518518519, AUC:0.9510564817610581, Kappa:0.9026149684400361,F1:0.8135373483637416, Precision:0.8427989164831271, Recall:0.7862394957983193
FOLD: 0: [Test]- ACC:0.8240740740740741, AUC:0.9364759427819702, Kappa:0.8820689655172413,F1:0.8451569226643117, Precision:0.8308080808080808, Recall:0.860010111223458
FOLD: 1: [Test]- ACC:0.8611111111111112, AUC:0.9730084853090172, Kappa:0.9202127659574468,F1:0.8818276698258759, Precision:0.9136096845194424, Recall:0.8521825396825398
FOLD: 2: [Test]- ACC:0.8148148148148148, AUC:0.9551901076331792, Kappa:0.86529284164859,F1:0.8111284400359059, Precision:0.7981884057971015, Recall:0.8244949494949495
FOLD: 3: [Test]- ACC:0.8055555555555556, AUC:0.9549339359159495, Kappa:0.8817518248175182,F1:0.7983979517377734, Precision:0.8216540404040404, Recall:0.7764221073044603
FOLD: 4: [Test]- ACC:0.8333333333333334, AUC:0.9467828002911691, Kappa:0.8927625772285966,F1:0.7843611231336619, Precision:0.7924501424501424, Recall:0.7764355742296919
