FOLD: 0: [Test]- ACC:0.8333333333333334, AUC:0.9529787670932935, Kappa:0.8878116343490304,F1:0.8526197892952051, Precision:0.8388090084518656, Recall:0.8668929654773943
FOLD: 1: [Test]- ACC:0.8796296296296297, AUC:0.9734281639060112, Kappa:0.9370290635091496,F1:0.8915465356330988, Precision:0.8740829006174274, Recall:0.9097222222222223
FOLD: 2: [Test]- ACC:0.8240740740740741, AUC:0.9571495325101793, Kappa:0.8882109392024407,F1:0.8333734051927876, Precision:0.823549662119087, Recall:0.8434343434343434
FOLD: 3: [Test]- ACC:0.8148148148148148, AUC:0.9435724005664081, Kappa:0.9004332995298239,F1:0.8216291273533569, Precision:0.8074426795889981, Recall:0.8363229907347554
FOLD: 4: [Test]- ACC:0.8055555555555556, AUC:0.9299133087361126, Kappa:0.8713118474807081,F1:0.76978942476997, Precision:0.7862253487253488, Recall:0.7540266106442577
FOLD: 0: [Test]- ACC:0.8240740740740741, AUC:0.9524555161365881, Kappa:0.8759071117561683,F1:0.8709671757228418, Precision:0.8861633372502937, Recall:0.8562834031489239
FOLD: 1: [Test]- ACC:0.8611111111111112, AUC:0.9707112602724305, Kappa:0.9212368728121354,F1:0.8740443763142898, Precision:0.8809523809523809, Recall:0.8672438672438674
FOLD: 2: [Test]- ACC:0.8518518518518519, AUC:0.9492201060181922, Kappa:0.9034097261039687,F1:0.8632076300510348, Precision:0.865952812284334, Recall:0.8604797979797979
FOLD: 3: [Test]- ACC:0.8425925925925926, AUC:0.9622768873133132, Kappa:0.9084380610412927,F1:0.8349213645419264, Precision:0.8558802308802309, Recall:0.8149644473173885
FOLD: 4: [Test]- ACC:0.8333333333333334, AUC:0.9455898034821215, Kappa:0.887291280148423,F1:0.7993558158794074, Precision:0.818801510989011, Recall:0.780812324929972
