FOLD: 0: [Test]- ACC:0.7962962962962963, AUC:0.9420221942455513, Kappa:0.8653671804170444,F1:0.8179754268053051, Precision:0.797391304347826, Recall:0.8396504405604507
FOLD: 1: [Test]- ACC:0.8703703703703703, AUC:0.9689634226425007, Kappa:0.9296875,F1:0.886153164640315, Precision:0.8785014005602241, Recall:0.8939393939393939
FOLD: 2: [Test]- ACC:0.8240740740740741, AUC:0.9558456822749459, Kappa:0.8733020498888615,F1:0.8333781837177274, Precision:0.8892773892773893, Recall:0.7840909090909091
FOLD: 3: [Test]- ACC:0.8148148148148148, AUC:0.9567132479229309, Kappa:0.8930163447251115,F1:0.8110038409665993, Precision:0.8202306258382778, Recall:0.8019823313940961
FOLD: 4: [Test]- ACC:0.8425925925925926, AUC:0.9227421444708113, Kappa:0.8962946226841392,F1:0.8117499803313778, Precision:0.8204617330803289, Recall:0.8032212885154062
FOLD: 0: [Test]- ACC:0.8055555555555556, AUC:0.9530578680981612, Kappa:0.8644837476099426,F1:0.8233917711386597, Precision:0.8311011904761905, Recall:0.8158240647118301
FOLD: 1: [Test]- ACC:0.8425925925925926, AUC:0.9600537760302934, Kappa:0.9150943396226415,F1:0.8569151751780251, Precision:0.84968671679198, Recall:0.8642676767676768
FOLD: 2: [Test]- ACC:0.8333333333333334, AUC:0.956778347509331, Kappa:0.8949529882200368,F1:0.8284258087465391, Precision:0.8229600588091155, Recall:0.8339646464646464
FOLD: 3: [Test]- ACC:0.8518518518518519, AUC:0.9490535688380914, Kappa:0.9217178581136178,F1:0.849079095194813, Precision:0.8343531468531469, Recall:0.8643341952165482
FOLD: 4: [Test]- ACC:0.8611111111111112, AUC:0.9421654981155755, Kappa:0.9059451927542963,F1:0.8423213958936657, Precision:0.8783009136457411, Recall:0.8091736694677871
