FOLD: 0: [Test]- ACC:0.8333333333333334, AUC:0.9619555531994048, Kappa:0.8812316715542522,F1:0.8773860317954448, Precision:0.8946578631452581, Recall:0.860768452982811
FOLD: 1: [Test]- ACC:0.8796296296296297, AUC:0.9554475994383013, Kappa:0.9300239234449761,F1:0.8798539994546577, Precision:0.8988413547237077, Recall:0.8616522366522368
FOLD: 2: [Test]- ACC:0.8055555555555556, AUC:0.9485193851466867, Kappa:0.8771131339401821,F1:0.8041799940409637, Precision:0.7918320105820106, Recall:0.8169191919191919
FOLD: 3: [Test]- ACC:0.8333333333333334, AUC:0.9597049360761449, Kappa:0.9026344786136432,F1:0.8205905209299904, Precision:0.8302075891085179, Recall:0.8111937082525318
FOLD: 0: [Test]- ACC:0.8055555555555556, AUC:0.9657147143745652, Kappa:0.8845684039087948,F1:0.8126457642988582, Precision:0.7695208139173657, Recall:0.8608912321248015
FOLD: 4: [Test]- ACC:0.8333333333333334, AUC:0.9520432027821251, Kappa:0.8910802330793366,F1:0.8008892763189907, Precision:0.8092317165593028, Recall:0.7927170868347339
FOLD: 1: [Test]- ACC:0.8796296296296297, AUC:0.9640812489185819, Kappa:0.9186440677966101,F1:0.8929387345631816, Precision:0.8914918414918415, Recall:0.8943903318903319
FOLD: 2: [Test]- ACC:0.8703703703703703, AUC:0.965351240318234, Kappa:0.9147784917145756,F1:0.8782325260180283, Precision:0.8827741702741703, Recall:0.8737373737373737
FOLD: 3: [Test]- ACC:0.8333333333333334, AUC:0.9631054495016053, Kappa:0.9049388753056234,F1:0.8255916751280137, Precision:0.8276098901098901, Recall:0.8235832794656324
FOLD: 4: [Test]- ACC:0.8425925925925926, AUC:0.9514326017603397, Kappa:0.891077361177029,F1:0.7998220280935595, Precision:0.8445062008469449, Recall:0.7596288515406162
